group,label,color
1,i,Red
2,@,Blue
3,#,Black
4,3,Green
5,u,Olive
6,U,Yellow
7,Q,Black
8,I,Lime
9,E,Purple
10,V,Teal
11,$,Navy
12,{,Pink
13,c,Maroon
14,q,Grey
15,0,Silver
16,~,Cyan
17,1,Black
18,2,Green
19,4,Olive
20,5,Yellow
21,6,Lime
22,7,Purple
23,8,Teal
24,9,Navy
25,a,Pink
26,y,Maroon
27,),Grey
28,e,Silver
29,o,Cyan
30,W,Black
31,B,Green
32,X,Olive
33,Y,Yellow
34,/,Lime
35,&,Purple
36,A,Teal
37,O,Navy
38,^,Pink
39,|,Maroon
40,!,Grey
41,(,Silver
42,*,Cyan
43,<,Red
44,K,Blue
45,L,Black
46,M,Green
