group,label,color
1,AA,Red
2,AE,Blue
3,AH,Black
4,AO,Green
5,AW,Olive
6,AX,Yellow
7,AY,Magenta
8,EH,Black
9,ER,Lime
10,EY,Purple
11,IH,Teal
12,IX,Navy
13,IY,Pink
14,OW,Maroon
15,OY,Grey
16,UH,Silver
17,UW,Cyan
18,UX,Black
19,i,Red
20,e,Blue
21,a,Black
22,o,Green
23,u,Olive
24,ʊ,Yellow
25,ɑ,Magenta
26,ɒ,Black
27,ɪ,Lime
28,ɛ,Purple
29,ʌ,Teal
30,ɔ,Navy
31,æ,Pink
32,ɘ,Maroon
33,ɵ,Grey
34,y,Silver
35,ø,Cyan
36,œ,Black
37,ɜ,Red
38,ɞ,Blue
39,ɐ,Black
40,ʏ,Green
41,ɶ,Olive
42,ʉ,Yellow
43,ɨ,Magenta
44,ɯ,Black
45,ɤ,Lime
